endpoint,layer,rep,status,latencyMs,ok,error
"resume-analyze","backend + external LLM",1,200,16386.73,true,""
"resume-analyze","backend + external LLM",2,200,38303.13,true,""
"resume-analyze","backend + external LLM",3,413,32357.28,false,""
"resume-analyze","backend + external LLM",4,200,26321.91,true,""
"resume-analyze","backend + external LLM",5,200,25451.66,true,""
"resume-analyze","backend + external LLM",6,200,29368.67,true,""
"resume-analyze","backend + external LLM",7,200,28100.87,true,""
"resume-analyze","backend + external LLM",8,200,25164.75,true,""
"resume-analyze","backend + external LLM",9,200,27997.45,true,""
"resume-analyze","backend + external LLM",10,200,25598.95,true,""
"resume-analyze","backend + external LLM",11,200,25591.09,true,""
"resume-analyze","backend + external LLM",12,200,27149.53,true,""
"resume-analyze","backend + external LLM",13,200,28496.6,true,""
"resume-analyze","backend + external LLM",14,200,28381.33,true,""
"resume-analyze","backend + external LLM",15,200,26168.38,true,""
"resume-analyze","backend + external LLM",16,200,28030.45,true,""
"resume-analyze","backend + external LLM",17,200,26032.1,true,""
"resume-analyze","backend + external LLM",18,200,28262.96,true,""
"resume-analyze","backend + external LLM",19,200,28056.53,true,""
"resume-analyze","backend + external LLM",20,200,25449.51,true,""
"resume-analyze","backend + external LLM",21,200,27070.32,true,""
"resume-analyze","backend + external LLM",22,200,27014.4,true,""
"resume-analyze","backend + external LLM",23,200,27960.32,true,""
"resume-analyze","backend + external LLM",24,200,27364.22,true,""
"resume-analyze","backend + external LLM",25,200,28217.07,true,""
"resume-analyze","backend + external LLM",26,200,26855.97,true,""
"resume-analyze","backend + external LLM",27,200,27289.01,true,""
"resume-analyze","backend + external LLM",28,200,26691.65,true,""
"resume-analyze","backend + external LLM",29,200,25680.77,true,""
"resume-analyze","backend + external LLM",30,200,28018.26,true,""
"interview-turn (chat)","backend + external LLM",1,200,4409.03,true,""
"interview-turn (chat)","backend + external LLM",2,200,5201.63,true,""
"interview-turn (chat)","backend + external LLM",3,200,3513.74,true,""
"interview-turn (chat)","backend + external LLM",4,200,4216.99,true,""
"interview-turn (chat)","backend + external LLM",5,200,4043.31,true,""
"interview-turn (chat)","backend + external LLM",6,200,4230.37,true,""
"interview-turn (chat)","backend + external LLM",7,200,4095.12,true,""
"interview-turn (chat)","backend + external LLM",8,200,4067.3,true,""
"interview-turn (chat)","backend + external LLM",9,200,4437.9,true,""
"interview-turn (chat)","backend + external LLM",10,200,4175.47,true,""
"interview-turn (chat)","backend + external LLM",11,200,4153.39,true,""
"interview-turn (chat)","backend + external LLM",12,200,4113.62,true,""
"interview-turn (chat)","backend + external LLM",13,200,4137.67,true,""
"interview-turn (chat)","backend + external LLM",14,200,4189.91,true,""
"interview-turn (chat)","backend + external LLM",15,200,4435.61,true,""
"interview-turn (chat)","backend + external LLM",16,200,4517.16,true,""
"interview-turn (chat)","backend + external LLM",17,200,4030.42,true,""
"interview-turn (chat)","backend + external LLM",18,200,4668.83,true,""
"interview-turn (chat)","backend + external LLM",19,200,4254.55,true,""
"interview-turn (chat)","backend + external LLM",20,200,4370.42,true,""
"interview-turn (chat)","backend + external LLM",21,200,4672.27,true,""
"interview-turn (chat)","backend + external LLM",22,200,4217.28,true,""
"interview-turn (chat)","backend + external LLM",23,200,4099.6,true,""
"interview-turn (chat)","backend + external LLM",24,200,4688.17,true,""
"interview-turn (chat)","backend + external LLM",25,200,4155.58,true,""
"interview-turn (chat)","backend + external LLM",26,200,4560.21,true,""
"interview-turn (chat)","backend + external LLM",27,200,4655.9,true,""
"interview-turn (chat)","backend + external LLM",28,200,4655.39,true,""
"interview-turn (chat)","backend + external LLM",29,200,4714.5,true,""
"interview-turn (chat)","backend + external LLM",30,200,4267.49,true,""
"star-coach","backend + external LLM",1,200,4246.39,true,""
"star-coach","backend + external LLM",2,200,8941.63,true,""
"star-coach","backend + external LLM",3,200,3965.05,true,""
"star-coach","backend + external LLM",4,200,5727.31,true,""
"star-coach","backend + external LLM",5,200,5692.91,true,""
"star-coach","backend + external LLM",6,200,5299.03,true,""
"star-coach","backend + external LLM",7,200,5659.39,true,""
"star-coach","backend + external LLM",8,200,5764.57,true,""
"star-coach","backend + external LLM",9,200,6022.71,true,""
"star-coach","backend + external LLM",10,200,5527.6,true,""
"star-coach","backend + external LLM",11,200,5859.75,true,""
